COURSE CODE	COURSE TITLE	CLASS NUMBER	SECTION	COMPONENT	REPEATED DAYS	START TIME	END TIME	ROOM	INSTRUCTOR	START DATE	END DATE
CHE 102	Chemistry for Engineers	5664	10	LEC	MWF	10:30AM	11:20AM	STC 0040	Yilan Liu	2025/09/03	2025/10/10
CHE 102	Chemistry for Engineers	5664	10	LEC	Th	8:30AM	9:50AM	STC 0040	Yilan Liu	2025/09/04	2025/09/04
CHE 102	Chemistry for Engineers	5664	10	LEC	MWF	10:30AM	11:20AM	STC 0040	Yilan Liu	2025/10/27	2025/12/02
CHE 102	Chemistry for Engineers	5664	10	LEC	Th	8:30AM	9:50AM	STC 0040	Yilan Liu	2025/10/30	2025/10/30
CHE 102	Chemistry for Engineers	5664	10	LEC	Th	8:30AM	9:50AM	STC 0040	Yilan Liu	2025/11/27	2025/11/27
CHE 102	Chemistry for Engineers	5673	201	TST	Th	7:00PM	8:50PM	TBA	To be Announced	2025/10/23	2025/10/23
CHE 102	Chemistry for Engineers	5474	131	TUT	W	2:30PM	4:20PM	HH 1101	To be Announced	2025/09/03	2025/10/10
CHE 102	Chemistry for Engineers	5474	131	TUT	W	2:30PM	4:20PM	HH 1101	To be Announced	2025/10/27	2025/12/02
CS 137	Programming Principles	6428	1	LEC	TTh	10:00AM	11:20AM	STC 0040	Victoria Sakhnini, Scott King	2025/09/03	2025/10/10
CS 137	Programming Principles	6428	1	LEC	Th	8:30AM	9:50AM	STC 0040	Scott King, Victoria Sakhnini	2025/09/18	2025/09/18
CS 137	Programming Principles	6428	1	LEC	Th	8:30AM	9:50AM	STC 0040	Victoria Sakhnini, Scott King	2025/10/02	2025/10/02
CS 137	Programming Principles	6428	1	LEC	Th	8:30AM	9:50AM	STC 0040	Scott King, Victoria Sakhnini	2025/10/09	2025/10/09
CS 137	Programming Principles	6428	1	LEC	W	2:30PM	4:20PM	TBA	Scott King, Victoria Sakhnini	2025/10/22	2025/10/22
CS 137	Programming Principles	6428	1	LEC	TTh	10:00AM	11:20AM	STC 0040	Victoria Sakhnini, Scott King	2025/10/27	2025/12/02
CS 137	Programming Principles	6829	101	TUT	F	2:30PM	4:20PM	STC 0040	Scott King, Victoria Sakhnini	2025/09/12	2025/10/10
CS 137	Programming Principles	6829	101	TUT	F	2:30PM	4:20PM	STC 0040	Victoria Sakhnini, Scott King	2025/10/31	2025/11/28
CS 137	Programming Principles	6476	201	LAB	F	2:30PM	4:20PM	STC 0040	Victoria Sakhnini, Scott King	2025/09/05	2025/09/05
GENE 119	First-Year Engineering Seminar	9136	16	SEM	Th	11:30AM	12:20PM	STC 0040	Sarah Meunier, Dave Harris	2025/09/03	2025/10/10
GENE 119	First-Year Engineering Seminar	9136	16	SEM	Th	11:30AM	12:20PM	STC 0040	Dave Harris, Sarah Meunier	2025/10/27	2025/12/02
MATH 115	Linear Algebra (Eng)	6626	10	LEC	MWF	12:30PM	1:20PM	STC 0040	Faisal Al-Faisal	2025/09/03	2025/10/10
MATH 115	Linear Algebra (Eng)	6626	10	LEC	T	8:30AM	9:50AM	STC 0040	Faisal Al-Faisal	2025/09/16	2025/09/16
MATH 115	Linear Algebra (Eng)	6626	10	LEC	MWF	12:30PM	1:20PM	STC 0040	Faisal Al-Faisal	2025/10/27	2025/12/02
MATH 115	Linear Algebra (Eng)	6626	10	LEC	T	8:30AM	9:50AM	STC 0040	Faisal Al-Faisal	2025/10/28	2025/10/28
MATH 115	Linear Algebra (Eng)	6626	10	LEC	T	8:30AM	9:50AM	STC 0040	Faisal Al-Faisal	2025/11/11	2025/11/11
MATH 115	Linear Algebra (Eng)	7100	120	TUT	T	2:30PM	4:20PM	RCH 308	To be Announced	2025/09/03	2025/10/10
MATH 115	Linear Algebra (Eng)	7100	120	TUT	T	2:30PM	4:20PM	RCH 308	To be Announced	2025/10/27	2025/12/02
MATH 115	Linear Algebra (Eng)	7110	201	TST	T	7:00PM	8:50PM	TBA	To be Announced	2025/10/21	2025/10/21
MATH 117	Calculus 1 (Eng)	6491	115	TUT	Th	2:30PM	4:20PM	RCH 308	To be Announced	2025/09/03	2025/10/10
MATH 117	Calculus 1 (Eng)	6491	115	TUT	Th	2:30PM	4:20PM	RCH 308	To be Announced	2025/10/27	2025/12/02
MATH 117	Calculus 1 (Eng)	7112	201	TST	M	8:30AM	10:20AM	TBA	To be Announced	2025/10/20	2025/10/20
MATH 117	Calculus 1 (Eng)	6365	5	LEC	MWF	9:30AM	10:20AM	STC 0040	Serge D'Alessio	2025/09/03	2025/10/10
MATH 117	Calculus 1 (Eng)	6365	5	LEC	T	8:30AM	9:50AM	STC 0040	Serge D'Alessio	2025/09/23	2025/09/23
MATH 117	Calculus 1 (Eng)	6365	5	LEC	T	8:30AM	9:50AM	STC 0040	Serge D'Alessio	2025/10/07	2025/10/07
MATH 117	Calculus 1 (Eng)	6365	5	LEC	MWF	9:30AM	10:20AM	STC 0040	Serge D'Alessio	2025/10/27	2025/12/02
MATH 117	Calculus 1 (Eng)	6365	5	LEC	T	8:30AM	9:50AM	STC 0040	Serge D'Alessio	2025/11/04	2025/11/04
MATH 135	Algebra (Honours)	6835	201	TST	M	7:00PM	8:50PM	TBA	To be Announced	2025/10/06	2025/10/06
MATH 135	Algebra (Honours)	6857	12	LEC	MWF	1:30PM	2:20PM	MC 2054	Andrew Beltaos	2025/09/03	2025/12/02
MATH 135	Algebra (Honours)	7171	102	TUT	M	4:00PM	5:20PM	STC 1012	To be Announced	2025/09/03	2025/12/02
SE 101	Intro Methods	8019	101	SEM	Th	1:30PM	2:20PM	STC 0040	Paul Ward	2025/09/03	2025/10/10
SE 101	Intro Methods	8019	101	SEM	Th	1:30PM	2:20PM	STC 0040	Paul Ward	2025/10/27	2025/12/02
SE 101	Intro Methods	7995	1	LEC	M	2:30PM	3:20PM	STC 0040	Paul Ward	2025/09/03	2025/10/10
SE 101	Intro Methods	7995	1	LEC	Th	8:30AM	9:50AM	STC 0040	Paul Ward	2025/09/11	2025/09/11
SE 101	Intro Methods	7995	1	LEC	M	2:30PM	3:20PM	STC 0040	Paul Ward	2025/10/27	2025/12/02
SE 101	Intro Methods	7995	1	LEC	Th	8:30AM	9:50AM	STC 0040	Paul Ward	2025/11/06	2025/11/06
SE 101	Intro Methods	7995	1	LEC	Th	8:30AM	9:50AM	STC 0040	Paul Ward	2025/11/13	2025/11/13
SE 101	Intro Methods	8071	201	LAB	T	12:30PM	2:20PM	E2 1792	Paul Ward	2025/09/03	2025/10/10
SE 101	Intro Methods	8071	201	LAB	T	12:30PM	2:20PM	E2 1792	Paul Ward	2025/10/27	2025/12/02